r,g,b,r_new,g_new,b_new
0,0,0,0,0,0
0,0,16,0,0,17
0,0,32,0,33,33
0,0,48,0,33,50
0,0,64,0,33,66
0,0,80,0,65,82
0,0,96,0,65,98
0,0,112,0,65,113
0,0,128,0,94,128
0,0,144,0,94,143
0,0,160,0,94,156
0,0,176,0,94,169
0,0,192,0,118,181
0,0,208,0,118,193
0,0,224,0,118,203
0,0,240,0,139,213
0,16,0,0,13,0
0,16,16,0,14,16
0,16,32,0,36,38
0,16,48,0,36,51
0,16,64,0,42,66
0,16,80,0,59,82
0,16,96,0,59,98
0,16,112,0,74,114
0,16,128,0,85,128
0,16,144,0,83,143
0,16,160,0,102,157
0,16,176,0,103,170
0,16,192,0,111,182
0,16,208,0,124,193
0,16,224,0,125,204
0,16,240,0,132,214
0,32,0,54,26,12
0,32,16,54,39,25
0,32,32,47,28,33
0,32,48,47,28,49
0,32,64,47,52,65
0,32,80,0,51,82
0,32,96,0,51,98
0,32,112,0,74,113
0,32,128,0,83,129
0,32,144,0,83,145
0,32,160,0,103,159
0,32,176,0,103,170
0,32,192,0,109,184
0,32,208,0,127,196
0,32,224,0,127,205
0,32,240,0,132,215
0,48,0,54,40,12
0,48,16,54,41,25
0,48,32,47,42,33
0,48,48,47,42,49
0,48,64,47,46,65
0,48,80,0,61,82
0,48,96,0,61,98
0,48,112,0,65,113
0,48,128,0,92,129
0,48,144,0,92,145
0,48,160,0,95,159
0,48,176,0,96,170
0,48,192,0,118,184
0,48,208,0,121,196
0,48,224,0,121,205
0,48,240,0,138,215
0,64,0,54,53,12
0,64,16,54,53,27
0,64,32,47,55,41
0,64,48,47,55,50
0,64,64,47,56,66
0,64,80,0,68,83
0,64,96,0,68,98
0,64,112,0,70,114
0,64,128,0,93,130
0,64,144,0,93,145
0,64,160,0,101,160
0,64,176,0,101,175
0,64,192,0,114,185
0,64,208,0,126,197
0,64,224,0,126,210
0,64,240,0,135,219
0,80,0,109,66,24
0,80,16,109,67,34
0,80,32,106,66,40
0,80,48,106,66,53
0,80,64,106,75,68
0,80,80,94,71,82
0,80,96,94,71,99
0,80,112,94,92,115
0,80,128,61,82,129
0,80,144,61,82,145
0,80,160,61,107,159
0,80,176,61,107,172
0,80,192,0,109,190
0,80,208,0,129,203
0,80,224,0,129,211
0,80,240,0,134,224
0,96,0,109,79,24
0,96,16,109,79,33
0,96,32,106,80,40
0,96,48,106,80,53
0,96,64,106,82,69
0,96,80,94,85,82
0,96,96,94,85,99
0,96,112,94,91,115
0,96,128,61,94,129
0,96,144,61,94,145
0,96,160,61,100,159
0,96,176,61,101,172
0,96,192,0,118,190
0,96,208,0,123,203
0,96,224,0,123,211
0,96,240,0,142,224
0,112,0,109,92,24
0,112,16,109,92,34
0,112,32,106,93,50
0,112,48,106,93,55
0,112,64,106,94,69
0,112,80,94,97,87
0,112,96,94,97,101
0,112,112,94,99,115
0,112,128,61,104,131
0,112,144,61,104,146
0,112,160,61,107,161
0,112,176,61,106,178
0,112,192,0,123,191
0,112,208,0,128,205
0,112,224,0,128,222
0,112,240,0,144,227
0,128,0,163,105,37
0,128,16,163,106,43
0,128,32,162,105,49
0,128,48,162,105,59
0,128,64,162,108,71
0,128,80,155,107,86
0,128,96,155,107,102
0,128,112,155,114,115
0,128,128,141,112,132
0,128,144,61,113,146
0,128,160,141,128,163
0,128,176,61,120,178
0,128,192,114,121,195
0,128,208,0,135,205
0,128,224,0,136,222
0,128,240,0,143,227
0,144,0,163,119,37
0,144,16,163,119,44
0,144,32,162,119,47
0,144,48,162,119,60
0,144,64,162,120,71
0,144,80,155,121,85
0,144,96,155,121,103
0,144,112,155,124,117
0,144,128,141,126,133
0,144,144,141,126,148
0,144,160,141,132,163
0,144,176,141,131,177
0,144,192,114,134,195
0,144,208,114,142,209
0,144,224,114,142,218
0,144,240,51,148,239
0,160,0,163,132,37
0,160,16,163,132,49
0,160,32,162,132,57
0,160,48,162,132,60
0,160,64,162,132,75
0,160,80,155,134,90
0,160,96,155,134,103
0,160,112,155,135,118
0,160,128,141,139,135
0,160,144,141,139,148
0,160,160,141,140,164
0,160,176,141,141,180
0,160,192,114,148,196
0,160,208,114,150,211
0,160,224,114,150,226
0,160,240,51,157,241
0,176,0,163,145,37
0,176,16,163,145,44
0,176,32,162,145,56
0,176,48,162,145,60
0,176,64,162,146,76
0,176,80,155,147,92
0,176,96,155,147,103
0,176,112,155,149,120
0,176,128,155,149,133
0,176,144,141,150,147
0,176,160,141,154,161
0,176,176,141,154,180
0,176,192,114,156,196
0,176,208,114,161,211
0,176,224,114,161,226
0,176,240,51,163,241
0,192,0,218,158,49
0,192,16,218,158,52
0,192,32,217,158,57
0,192,48,217,158,68
