r,g,b,r_new,g_new,b_new
0,0,0,0,0,0
0,0,16,0,0,22
0,0,32,0,35,44
0,0,48,0,35,66
0,0,64,0,35,87
0,0,80,0,68,107
0,0,96,0,68,127
0,0,112,0,68,146
0,0,128,0,96,165
0,0,144,0,96,183
0,0,160,0,96,199
0,0,176,0,96,214
0,0,192,0,120,229
0,0,208,0,120,241
0,0,224,0,120,246
0,0,240,113,156,251
0,16,0,0,14,0
0,16,16,0,14,15
0,16,32,0,38,44
0,16,48,0,38,66
0,16,64,0,40,78
0,16,80,0,61,97
0,16,96,0,62,125
0,16,112,0,72,141
0,16,128,0,83,148
0,16,144,0,81,177
0,16,160,0,100,197
0,16,176,0,101,206
0,16,192,0,110,223
0,16,208,0,127,241
0,16,224,0,128,246
0,16,240,113,140,245
0,32,0,49,28,0
0,32,16,49,41,22
0,32,32,46,29,30
0,32,48,46,29,45
0,32,64,46,54,70
0,32,80,13,45,88
0,32,96,13,45,98
0,32,112,13,68,120
0,32,128,0,77,151
0,32,144,0,77,161
0,32,160,0,98,176
0,32,176,0,98,199
0,32,192,0,105,215
0,32,208,0,127,225
0,32,224,0,129,235
0,32,240,91,136,251
0,48,0,49,41,0
0,48,16,49,43,22
0,48,32,46,43,30
0,48,48,46,43,45
0,48,64,46,47,70
0,48,80,13,50,88
0,48,96,13,50,98
0,48,112,13,55,120
0,48,128,0,82,151
0,48,144,0,82,161
0,48,160,0,85,176
0,48,176,0,86,199
0,48,192,0,110,215
0,48,208,0,114,225
0,48,224,0,114,235
0,48,240,91,143,251
0,64,0,49,55,0
0,64,16,49,55,15
0,64,32,46,57,29
0,64,48,46,57,45
0,64,64,46,57,60
0,64,80,13,61,78
0,64,96,13,61,95
0,64,112,13,61,111
0,64,128,0,85,131
0,64,144,0,85,153
0,64,160,0,88,171
0,64,176,0,88,183
0,64,192,0,107,204
0,64,208,0,115,225
0,64,224,0,115,235
0,64,240,91,134,240
0,80,0,99,69,0
0,80,16,99,70,17
0,80,32,97,70,29
0,80,48,97,70,43
0,80,64,97,73,60
0,80,80,92,72,75
0,80,96,92,72,89
0,80,112,92,88,109
0,80,128,78,76,125
0,80,144,78,75,139
0,80,160,78,102,157
0,80,176,78,102,181
0,80,192,26,94,195
0,80,208,26,121,208
0,80,224,26,121,224
0,80,240,0,120,245
0,96,0,99,83,0
0,96,16,99,83,16
0,96,32,97,84,30
0,96,48,97,84,42
0,96,64,97,85,61
0,96,80,92,86,75
0,96,96,92,86,89
0,96,112,92,90,109
0,96,128,78,90,125
0,96,144,78,91,139
0,96,160,78,97,157
0,96,176,78,97,181
0,96,192,26,101,195
0,96,208,26,108,208
0,96,224,26,109,224
0,96,240,0,125,245
0,112,0,99,97,0
0,112,16,99,97,12
0,112,32,97,98,31
0,112,48,97,98,44
0,112,64,97,98,58
0,112,80,92,99,74
0,112,96,92,99,90
0,112,112,92,100,104
0,112,128,78,103,121
0,112,144,78,103,138
0,112,160,78,104,153
0,112,176,78,103,168
0,112,192,26,109,190
0,112,208,26,112,207
0,112,224,26,112,221
0,112,240,0,129,236
0,128,0,148,111,0
0,128,16,148,111,14
0,128,32,147,111,30
0,128,48,147,111,42
0,128,64,147,112,57
0,128,80,144,112,73
0,128,96,144,112,88
0,128,112,144,115,102
0,128,128,138,114,119
0,128,144,78,113,138
0,128,160,138,121,151
0,128,176,78,118,168
0,128,192,126,119,183
0,128,208,26,123,207
0,128,224,26,124,221
0,128,240,0,133,236
0,144,0,148,125,0
0,144,16,148,125,16
0,144,32,147,125,28
0,144,48,147,125,43
0,144,64,147,126,57
0,144,80,144,126,72
0,144,96,144,126,89
0,144,112,144,127,104
0,144,128,138,129,120
0,144,144,138,129,135
0,144,160,138,132,151
0,144,176,138,130,171
0,144,192,126,133,183
0,144,208,126,139,199
0,144,224,126,139,218
0,144,240,103,140,235
0,160,0,148,139,0
0,160,16,148,139,17
0,160,32,147,139,31
0,160,48,147,139,42
0,160,64,147,139,58
0,160,80,144,140,71
