r,g,b,r_new,g_new,b_new
0,0,0,0,0,0
0,0,16,0,0,9
0,0,32,0,28,18
0,0,48,0,28,27
0,0,64,0,28,36
0,0,80,0,55,45
0,0,96,0,55,54
0,0,112,0,55,62
0,0,128,0,81,71
0,0,144,0,81,80
0,0,160,0,81,88
0,0,176,0,81,96
0,0,192,0,106,104
0,0,208,0,106,112
0,0,224,0,106,119
0,0,240,0,127,126
0,16,0,0,15,0
0,16,16,0,16,17
0,16,32,0,34,37
0,16,48,0,34,30
0,16,64,0,40,40
0,16,80,0,53,56
0,16,96,0,54,57
0,16,112,0,65,64
0,16,128,0,77,78
0,16,144,0,76,83
0,16,160,0,90,89
0,16,176,0,91,99
0,16,192,0,101,106
0,16,208,0,113,112
0,16,224,0,114,121
0,16,240,0,121,128
0,32,0,23,30,51
0,32,16,23,41,44
0,32,32,10,31,34
0,32,48,10,31,51
0,32,64,10,52,55
0,32,80,0,52,53
0,32,96,0,52,66
0,32,112,0,72,74
0,32,128,0,76,76
0,32,144,0,76,87
0,32,160,0,96,96
0,32,176,0,96,101
0,32,192,0,99,109
0,32,208,0,117,117
0,32,224,0,117,123
0,32,240,0,122,129
0,48,0,23,45,51
0,48,16,23,47,44
0,48,32,10,47,34
0,48,48,10,47,51
0,48,64,10,50,55
0,48,80,0,65,53
0,48,96,0,65,66
0,48,112,0,68,74
0,48,128,0,86,76
0,48,144,0,87,87
0,48,160,0,90,96
0,48,176,0,90,101
0,48,192,0,109,109
0,48,208,0,112,117
0,48,224,0,112,123
0,48,240,0,129,129
0,64,0,23,60,51
0,64,16,23,60,69
0,64,32,10,61,73
0,64,48,10,61,57
0,64,64,10,63,68
0,64,80,0,75,85
0,64,96,0,75,75
0,64,112,0,78,81
0,64,128,0,92,101
0,64,144,0,92,97
0,64,160,0,100,100
0,64,176,0,100,114
0,64,192,0,112,117
0,64,208,0,119,119
0,64,224,0,120,131
0,64,240,0,131,137
0,80,0,45,75,102
0,80,16,45,76,85
0,80,32,42,75,84
0,80,48,42,75,101
0,80,64,42,83,96
0,80,80,21,79,85
0,80,96,21,80,103
0,80,112,21,96,106
0,80,128,0,94,97
0,80,144,0,93,113
0,80,160,0,113,121
0,80,176,0,113,119
0,80,192,0,113,128
0,80,208,0,130,138
0,80,224,0,130,138
0,80,240,0,132,143
0,96,0,45,89,102
0,96,16,45,90,86
0,96,32,42,90,85
0,96,48,42,90,100
0,96,64,42,93,95
0,96,80,21,95,85
0,96,96,21,95,103
0,96,112,21,99,106
0,96,128,0,108,97
0,96,144,0,109,113
0,96,160,0,114,121
0,96,176,0,114,119
0,96,192,0,127,128
0,96,208,0,130,138
0,96,224,0,130,138
0,96,240,0,143,143
0,112,0,45,104,102
0,112,16,45,105,116
0,112,32,42,105,121
0,112,48,42,105,106
0,112,64,42,106,118
0,112,80,21,109,128
0,112,96,21,109,113
0,112,112,21,111,120
0,112,128,0,120,139
0,112,144,0,120,128
0,112,160,0,123,129
0,112,176,0,122,145
0,112,192,0,134,144
0,112,208,0,140,142
0,112,224,0,140,156
0,112,240,0,149,159
0,128,0,68,119,154
0,128,16,68,120,138
0,128,32,66,120,137
0,128,48,66,120,151
0,128,64,66,123,143
0,128,80,57,121,134
0,128,96,57,121,151
0,128,112,57,130,152
0,128,128,31,126,137
0,128,144,0,129,128
0,128,160,31,142,160
0,128,176,0,137,145
0,128,192,0,139,160
0,128,208,0,150,142
0,128,224,0,151,156
0,128,240,0,153,159
0,144,0,68,135,154
0,144,16,68,135,136
0,144,32,66,135,135
0,144,48,66,135,152
0,144,64,66,136,143
0,144,80,57,137,133
0,144,96,57,137,152
0,144,112,57,140,150
0,144,128,31,142,138
0,144,144,31,142,153
0,144,160,31,148,160
0,144,176,31,147,152
0,144,192,0,153,160
0,144,208,0,159,171
0,144,224,0,159,165
0,144,240,0,166,170
0,160,0,68,150,154
0,160,16,68,150,174
0,160,32,66,150,170
0,160,48,66,150,157
0,160,64,66,151,169
0,160,80,57,152,179
0,160,96,57,152,163
0,160,112,57,153,168
0,160,128,31,157,184
0,160,144,31,157,172
0,160,160,31,158,170
0,160,176,31,159,187
0,160,192,0,167,181
0,160,208,0,169,176
0,160,224,0,169,192
0,160,240,0,177,193
0,176,0,68,165,154
0,176,16,68,165,165
0,176,32,66,165,174
0,176,48,66,165,159
0,176,64,66,166,170
0,176,80,57,166,176
0,176,96,57,166,163
0,176,112,57,169,170
0,176,128,57,169,183
0,176,144,31,170,172
0,176,160,31,174,167
0,176,176,31,174,187
0,176,192,0,177,181
0,176,208,0,181,176
0,176,224,0,181,192
0,176,240,0,184,193
0,192,0,90,180,205
0,192,16,90,180,192
0,192,32,89,180,187
0,192,48,89,180,205
0,192,64,89,180,192
0,192,80,84,181,182
0,192,96,84,181,199
0,192,112,84,183,200
0,192,128,71,184,186
0,192,144,71,184,201
0,192,160,71,188,206
0,192,176,71,188,192
0,192,192,41,190,204
0,192,208,41,194,214
0,192,224,41,193,204
0,192,240,0,199,208
0,208,0,90,195,205
0,208,16,90,195,219
0,208,32,89,195,220
0,208,48,89,195,210
0,208,64,89,195,217
0,208,80,84,196,231
0,208,96,84,196,212
0,208,112,84,197,217
0,208,128,71,199,232
0,208,144,71,199,218
0,208,160,71,199,219
0,208,176,71,199,228
0,208,192,41,205,225
0,208,208,41,205,220
0,208,224,41,203,232
0,208,240,0,212,232
0,224,0,90,209,205
0,224,16,90,209,220
0,224,32,89,209,228
0,224,48,89,209,207
0,224,64,89,209,222
0,224,80,84,210,225
0,224,96,84,210,212
0,224,112,84,211,215
0,224,128,71,212,233
0,224,144,71,212,218
0,224,160,71,213,219
0,224,176,71,213,229
0,224,192,41,216,225
0,224,208,41,217,220
0,224,224,41,217,232
0,224,240,0,218,232
0,240,0,115,223,255
0,240,16,115,223,239
0,240,32,115,223,233
0,240,48,115,224,253
0,240,64,115,224,244
0,240,80,115,224,234
0,240,96,115,224,250
0,240,112,115,226,247
0,240,128,114,225,234
0,240,144,114,225,246
0,240,160,114,227,249
0,240,176,114,227,239
0,240,192,112,226,246
0,240,208,112,230,253
0,240,224,112,230,244
0,240,240,110,228,244
16,0,0,16,0,0
16,0,16,15,0,7
16,0,32,16,28,18
16,0,48,16,28,27
16,0,64,10,28,33
16,0,80,15,55,42
16,0,96,15,55,53
16,0,112,0,55,61
16,0,128,10,81,65
16,0,144,10,81,78
16,0,160,0,81,88
16,0,176,0,81,94
16,0,192,0,106,102
16,0,208,0,106,112
16,0,224,0,106,118
16,0,240,0,127,125
16,16,0,17,15,0
16,16,16,16,16,17
16,16,32,17,34,37
16,16,48,17,34,30
16,16,64,12,38,38
16,16,80,16,53,56
16,16,96,16,53,57
16,16,112,0,63,63
16,16,128,12,74,75
16,16,144,12,74,81
16,16,160,0,89,89
16,16,176,0,89,97
16,16,192,0,98,104
16,16,208,0,113,112
16,16,224,0,113,120
16,16,240,0,120,127
16,32,0,32,32,51
16,32,16,31,38,42
16,32,32,23,34,34
16,32,48,23,34,51
16,32,64,17,47,52
16,32,80,15,50,50
16,32,96,15,50,65
16,32,112,0,69,72
16,32,128,10,71,70
16,32,144,10,71,85
16,32,160,0,93,96
16,32,176,0,93,99
16,32,192,0,97,106
16,32,208,0,116,117
16,32,224,0,116,121
16,32,240,0,119,128
